"";"SG_UF_PROGRAMA";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"AL";0,466392231267281;0,594147120127512;0,47370015130788;0,470588235294118;0,0100013848893368;0,32803378873074;0,100006924206961;0,572742340612897;21,4426651008363;96,3973940477871;-0,0148360010763144
"2";"AM";0,501880952939733;0,433654419745106;0,491726902738972;0,363095238095238;0,0131546622672239;0,154080230967192;0,114693776061406;0,392530547814042;22,8527851853303;90,5169023861821;-0,278198185906687
"3";"AP";0,592987663235226;0,358333333333333;0,592987663235226;0,358333333333333;0,00000596346919008867;0,190138888888889;0,00244202153759721;0,436049181731704;0,411816583885408;121,68814373908;-1
"4";"BA";0,504903138597366;0,364694908174249;0,511711491674727;0,176470588235294;0,0103502298147997;0,189545312522497;0,10173607921873;0,435368019636832;20,1496230547022;119,378694321889;0,105118463777706
"5";"CE";0,475663393995139;0,351749295270247;0,463934920415899;0,227272727272727;0,0165074306825525;0,116222938617791;0,128481246423564;0,34091485537857;27,0109594401281;96,919840341584;0,0247291272700202
"6";"DF";0,497158964746605;0,341752523269692;0,478656261829287;0,178947368421053;0,00939034279948343;0,13728785233065;0,0969037811413127;0,370523754070708;19,491508353008;108,418732516076;0,0254559962749893
"7";"ES";0,503898587616023;0,327583922814786;0,506829689470696;0,166666666666667;0,0121678625952998;0,167348949114222;0,110308035044143;0,409083058943073;21,8909196721541;124,878857127053;-0,0519754480536208
"8";"GO";0,511168190787782;0,290670349187182;0,508386994949495;0,153846153846154;0,00840003629348258;0,140761125224308;0,0916517118960829;0,375181456397178;17,9298543117158;129,074553853298;-0,153620557673263
"9";"MA";0,534326707833046;0,512076883227611;0,5418344913255;0,266666666666667;0,0110899963717317;0,381661517156367;0,105309051708444;0,61778759873954;19,7087381492726;120,643524239102;-0,228815596775447
"10";"MG";0,48527224093929;0,380292838314746;0,479522727272727;0,210526315789474;0,0146595242901405;0,175891982853234;0,121076522456422;0,419394781623751;24,9502263352355;110,28206144567;-0,022839710983686
"11";"MS";0,552692598237943;0,318793343002764;0,543875149328408;0,228758169934641;0,00599910814486355;0,0594875449347784;0,0774539098100512;0,243900686622195;14,0139220349584;76,5074591347665;-0,196963513031086
"12";"MT";0,552756146826945;0,346027588968765;0,57466783404082;0,214285714285714;0,0104020489197936;0,240651865780817;0,101990435432905;0,490562805133876;18,451253055868;141,769853263971;0,303675827295891
"13";"PA";0,520967170095144;0,25811982666467;0,532027404457718;0,142857142857143;0,0113984481747708;0,0934963118133934;0,10676351518553;0,305771666138956;20,4933288149484;118,461131052979;-0,430823311055921
"14";"PB";0,463421901775792;0,463629643776703;0,436422811481117;0,222916666666667;0,0157893798192233;0,339614534838014;0,125655798987644;0,582764562098635;27,1147734939032;125,696139131973;0,348549555335143
"15";"PE";0,479621403564195;0,481527398062509;0,475093607154844;0,177083333333333;0,0107003709349897;0,484835099375827;0,103442597294295;0,696301012045672;21,5675523497462;144,60257398589;0,129728393311969
"16";"PI";0,432930735904887;0,567118437118437;0,399088145896656;0,642857142857143;0,00358977938459919;0,141722971371323;0,0599147676670717;0,376461115351005;13,8393425779395;66,3813924413791;0,662157487631763
"17";"PR";0,513632626578454;0,435326774375968;0,508291628377348;0,236694677871148;0,0141975024505475;0,384687184121765;0,119153272932587;0,620231556857409;23,1981511233666;142,474939141177;0,0300539087309014
"18";"RJ";0,498255789025074;0,344819448628446;0,491267798118485;0,1875;0,0114548273311381;0,167501099538209;0,10702722705526;0,409268981891139;21,4803780332744;118,690805730085;0,135087552846837
"19";"RN";0,514240594483913;0,537590850049638;0,50711372155827;0,215384615384615;0,00979366084502268;0,565198741860996;0,0989629266191268;0,751797008414503;19,2444796619849;139,845573700722;0,330398965459729
"20";"RO";0,595179981368613;0,3;0,617639825452325;0,266666666666667;0,0103920147373088;0,0311111111111111;0,101941231782379;0,176383420737639;17,1277991487493;58,7944735792131;-0,00770898567906688
"21";"RS";0,503031399856727;0,557044653391611;0,500153457653458;0,191489361702128;0,0136802493237098;0,73083848891986;0,116962597969222;0,85489092223503;23,2515501025453;153,46901133149;0,18152093808404
"22";"SC";0,542809782030211;0,445176974223384;0,531494114106487;0,265993265993266;0,0117856499475421;0,206446667935469;0,108561733348092;0,454364025793712;19,9999589067924;102,063685253793;0,0504994568159669
"23";"SE";0,593343482182784;1,75889199648391;0,623330962686684;1,86666666666667;0,00605698003244444;0,994479852463692;0,0778266023442142;0,9972361066787;13,1166187345493;56,6968357734422;-0,0165007244572288
"24";"SP";0,491839347591867;0,313772781332831;0,48446123630147;0,170212765957447;0,013647047853177;0,17158411104592;0,116820579750218;0,414227124951904;23,7517759248405;132,014996072116;0,0888484874054454
"25";"TO";0,58100575284576;0,296743881118881;0,593537417094644;0,303846153846154;0,0127187782241235;0,0498777162306211;0,112777560818292;0,223333195541149;19,4107477018788;75,2612639219602;0,290914484027193
