"";"NM_PROGRAMA_IES";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"(MEDICINA) TECNOLOGIA E INTERVENÇÃO EM CARDIOLOGIA";0,407835988562091;0,117647058823529;0,407835988562091;0,117647058823529;NA;NA;NA;NA;NA;NA;NA
"2";"ADMINISTRAÇÃO";0,52560656558603;0,299003069819917;0,528483859330633;0,142857142857143;0,00494837967131849;0,137641068374698;0,0703447202803344;0,371000092149177;13,3835315017237;124,079024463736;0,0971849936503442
"3";"ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS";0,577265712682379;0,454545454545455;0,577265712682379;0,454545454545455;NA;NA;NA;NA;NA;NA;NA
"4";"ADMINISTRAÇÃO E DESENVOLVIMENTO EMPRESARIAL";0,594163995726496;0,25;0,594163995726496;0,25;NA;NA;NA;NA;NA;NA;NA
"5";"ADMINISTRAÇÃO PÚBLICA";0,492456702654071;0,384615384615385;0,492456702654071;0,384615384615385;NA;NA;NA;NA;NA;NA;NA
"6";"AGRICULTURA E AMBIENTE";0,584595499986125;0,279761904761905;0,584595499986125;0,279761904761905;0,00178881716494988;0,0374858276643991;0,0422944105639254;0,193612571039174;7,23481630716097;69,2061956054919;-1
"7";"AGRICULTURA ORGÂNICA";0,480788084464555;0,0588235294117647;0,480788084464555;0,0588235294117647;NA;NA;NA;NA;NA;NA;NA
"8";"AGRICULTURA TROPICAL";0,447653173042053;0,461538461538462;0,447653173042053;0,461538461538462;NA;NA;NA;NA;NA;NA;NA
"9";"AGROECOLOGIA";0,550336876215896;0,111111111111111;0,550336876215896;0,111111111111111;NA;NA;NA;NA;NA;NA;NA
"10";"AGROECOLOGIA E DESENVOLVIMENTO RURAL";0,620128446115288;0,214285714285714;0,620128446115288;0,214285714285714;NA;NA;NA;NA;NA;NA;NA
"11";"AGROENERGIA";0,605184659090909;0,3;0,605184659090909;0,3;NA;NA;NA;NA;NA;NA;NA
"12";"AGRONEGÓCIO";0,665613471637605;0,0777777777777778;0,665613471637605;0,0777777777777778;0,00481495511534255;0,000987654320987655;0,0693898776144082;0,0314269680527355;10,4249509018633;40,4061017820884;1
"13";"AGRONEGÓCIOS";0,662990810359231;0,133333333333333;0,662990810359231;0,133333333333333;NA;NA;NA;NA;NA;NA;NA
"14";"AGRONOMIA";0,399382197635882;0,412875399454347;0,38948805959044;0,120813397129187;0,00491899155387605;0,390637087781473;0,0701355227675395;0,625009670150369;17,5610037659922;151,379731264294;0,179864711979422
"15";"AGRONOMIA - SUSTENTABILIDADE NA AGRICULLTURA";0,545301299283154;0,166666666666667;0,545301299283154;0,166666666666667;NA;NA;NA;NA;NA;NA;NA
"16";"AGRONOMIA (CIÊNCIAS DO SOLO)";0,368524377429303;0,190384615384615;0,368524377429303;0,190384615384615;0,00000477889082751908;0,00326183431952663;0,00218606743434851;0,0571124707881442;0,593194797477917;29,9984695048838;-1
"17";"AGRONOMIA (FITOPATOLOGIA)";0,42244560994561;0,0769230769230769;0,42244560994561;0,0769230769230769;NA;NA;NA;NA;NA;NA;NA
"18";"AGRONOMIA (FITOTECNIA)";0,332299050913496;0,245009074410163;0,332299050913496;0,245009074410163;0,00568596638650481;0,0619826680412779;0,0754053472010096;0,248963186116498;22,6920140137984;101,613863370511;1
"19";"AGRONOMIA (METEOROLOGIA APLICADA)";0,597287035381528;0,333333333333333;0,597287035381528;0,333333333333333;NA;NA;NA;NA;NA;NA;NA
"20";"AGRONOMIA (PRODUÇÃO VEGETAL)";0,496503194037106;0,350793650793651;0,473098845598846;0,357142857142857;0,00291099289234638;0,00658352229780801;0,0539536179727216;0,0811389074230607;10,8667212257026;23,1300957812345;-0,950081185817849
"21";"AGRONOMIA (SOLOS E NUTRIÇÃO DE PLANTAS)";0,341877069890652;0,6;0,341877069890652;0,6;NA;NA;NA;NA;NA;NA;NA
"22";"AGRONOMIA ¿ PRODUÇÃO VEGETAL";0,490624845112731;0,0588235294117647;0,490624845112731;0,0588235294117647;NA;NA;NA;NA;NA;NA;NA
"23";"AGRONOMIA TROPICAL";0,439237634015595;0,0666666666666667;0,439237634015595;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"24";"AGROQUÍMICA";0,430370588616263;0,394444444444444;0,400626810959891;0,45;0,0187732332172774;0,0567592592592592;0,137015448827048;0,238242018248795;31,8366199854835;60,3993849081453;-0,793214932826299
"25";"ALERGIA E IMUNOPATOLOGIA";0,505560169804356;0,25;0,505560169804356;0,25;NA;NA;NA;NA;NA;NA;NA
"26";"ALIMENTOS E NUTRIÇÃO";0,479390418333871;0,290727790727791;0,449649556792414;0,277777777777778;0,0105657324094951;0,00453919587563721;0,102789748562272;0,0673735547202106;21,4417611681768;23,174101984386;-0,572565681732979
"27";"ALIMENTOS, NUTRIÇÃO E SAÚDE";0,508975472435351;0,170138888888889;0,508975472435351;0,170138888888889;0,00845896210119836;0,0231722608024691;0,0919726160397668;0,152224376505437;18,0701469954329;89,470653946053;-1
"28";"AMBIENTE CONSTRUÍDO";0,519636613386613;0,230769230769231;0,519636613386613;0,230769230769231;NA;NA;NA;NA;NA;NA;NA
"29";"AMBIENTE CONSTRUÍDO E PATRIMÔNIO SUSTENTÁVEL";0,547248445998446;0,0555555555555556;0,547248445998446;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"30";"AMBIENTE E SISTEMAS DE PRODUÇÃO AGRÍCOLA";0,657939548419264;0,5;0,657939548419264;0,5;NA;NA;NA;NA;NA;NA;NA
"31";"AMBIENTE, TECNOLOGIA E SOCIEDADE";0,568053647741148;0,0769230769230769;0,568053647741148;0,0769230769230769;NA;NA;NA;NA;NA;NA;NA
"32";"ANÁLISE AMBIENTAL INTEGRADA";0,614499027542506;0,0666666666666667;0,614499027542506;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"33";"ANÁLISE DO COMPORTAMENTO";0,330913570139293;0,272727272727273;0,330913570139293;0,272727272727273;NA;NA;NA;NA;NA;NA;NA
"34";"ANÁLISES CLÍNICAS";0,56880787037037;0,25;0,56880787037037;0,25;NA;NA;NA;NA;NA;NA;NA
