"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"CP"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"BIOLOGIA EXPERIMENTAL";"MESTRADO/DOUTORADO";0,615740740740741
"2";"10001018004P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";"MESTRADO/DOUTORADO";0,524652777777778
"3";"10001018005P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"GEOGRAFIA";"MESTRADO/DOUTORADO";0,500980392156863
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"ADMINISTRAÇÃO";"MESTRADO";0,43525641025641
"5";"10001018009P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"PSICOLOGIA";"MESTRADO";0,425555555555556
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"LETRAS";"MESTRADO";0,44047619047619
"7";"10001018011P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO";"MESTRADO";0,320454545454545
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"ESTUDOS LITERÁRIOS";"MESTRADO";0,453125
"9";"10001018016P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO ESCOLAR";"MESTRADO PROF.";0,451315789473684
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"CIÊNCIAS AMBIENTAIS";"MESTRADO";0,436858974358974
"11";"10001018039P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,3890625
"12";"10001018040P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,488888888888889
"13";"11001011001P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"ECOLOGIA E MANEJO DE RECURSOS NATURAIS";"MESTRADO";0,47625
"14";"11001011003P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"LETRAS- LINGUAGEM E IDENTIDADE";"MESTRADO";0,428333333333333
"15";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";0,451388888888889
"16";"11001011006P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA";"MESTRADO";0,430952380952381
"17";"11001011007P6";"ENSINO";"ENSI";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"AC";"UFAC";"ENSINO DE CIÊNCIAS E MATEMÁTICA";"MESTRADO PROF.";0,482407407407407
"18";"11001011009P9";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"EDUCAÇÃO";"MESTRADO";0,403787878787879
"19";"11001011070P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL";"MESTRADO";0,425
"20";"11001011071P6";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA FLORESTAL";"MESTRADO";0,405
"21";"12001015001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,426136363636364
"22";"12001015002P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"QUÍMICA";"MESTRADO/DOUTORADO";0,416666666666667
