"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"FCDo";"FCDi";"CC";"CP";"IMI"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"BIOLOGIA EXPERIMENTAL";"MESTRADO/DOUTORADO";0,533333333333333;0,275862068965517;0,45872145096283;0,615740740740741;0,470914398500605
"2";"10001018004P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";"MESTRADO/DOUTORADO";0,822222222222222;0,609756097560976;0,808823529411765;0,524652777777778;0,691363656743185
"3";"10001018005P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"GEOGRAFIA";"MESTRADO/DOUTORADO";0,333333333333333;0,547619047619048;0,544642857142857;0,500980392156863;0,481643907563025
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"ADMINISTRAÇÃO";"MESTRADO";0,666666666666667;0,458333333333333;1;0,43525641025641;0,640064102564103
"5";"10001018009P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"PSICOLOGIA";"MESTRADO";0,433333333333333;0,403846153846154;0,553571428571429;0,425555555555556;0,454076617826618
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"LETRAS";"MESTRADO";0,466666666666667;0,424657534246575;0,836111111111111;0,44047619047619;0,541977875625136
"7";"10001018011P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO";"MESTRADO";0,636363636363636;0,396825396825397;1,22222222222222;0,320454545454545;0,64396645021645
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"ESTUDOS LITERÁRIOS";"MESTRADO";0,595238095238095;0,673913043478261;0,892857142857143;0,453125;0,653783320393375
"9";"10001018016P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO ESCOLAR";"MESTRADO PROF.";0,490196078431373;0,481481481481481;0,75462962962963;0,451315789473684;0,544405744754042
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"CIÊNCIAS AMBIENTAIS";"MESTRADO";0,711111111111111;0,672727272727273;0,560164835164835;0,436858974358974;0,595215548340548
"11";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";0,411764705882353;0,205882352941176;0,386363636363636;0,451388888888889;0,363849896019014
"12";"11001011006P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA";"MESTRADO";0,733333333333333;0,85;0,590277777777778;0,430952380952381;0,651140873015873
"13";"11001011070P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL";"MESTRADO";0,698412698412698;0,3875;1,07386363636364;0,425;0,646194083694084
"14";"12001015001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"EDUCAÇÃO";"MESTRADO/DOUTORADO";0,431372549019608;0,27536231884058;0,534090909090909;0,426136363636364;0,416740535146865
"15";"12001015002P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"QUÍMICA";"MESTRADO/DOUTORADO";0,25;0,174603174603175;0,508521870286576;0,416666666666667;0,337447927889104
