"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QPPP";"SPPP";"SPPPr";"SAPP";"QPPa";"QPPr";"QPA";"IPT"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"BIOLOGIA EXPERIMENTAL";"MESTRADO/DOUTORADO";15;0;0;0;0;0;0;0
"2";"10001018004P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";"MESTRADO/DOUTORADO";15;1;1;0;1;1;0;0,133333333333333
"3";"10001018005P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"GEOGRAFIA";"MESTRADO/DOUTORADO";15;0;0;0;0;0;0;0
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"ADMINISTRAÇÃO";"MESTRADO";9;0;3;0;0;3;0;0,333333333333333
"5";"10001018009P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"PSICOLOGIA";"MESTRADO";10;0;2;0;0;2;0;0,2
"6";"10001018010P4";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"LETRAS";"MESTRADO";15;0;0;0;0;0;0;0
"7";"10001018011P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO";"MESTRADO";11;0;0;0;0;0;0;0
"8";"10001018012P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"ESTUDOS LITERÁRIOS";"MESTRADO";14;0;0;0;0;0;0;0
"9";"10001018016P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO ESCOLAR";"MESTRADO PROF.";17;0;0;0;0;0;0;0
"10";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"CIÊNCIAS AMBIENTAIS";"MESTRADO";15;4;3;1;4;3;1;0,533333333333333
"11";"10001018039P2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;0;0;0;0;0;0;0
"12";"10001018040P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;12;0;0;0;0;0;0;0
"13";"11001011001P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"ECOLOGIA E MANEJO DE RECURSOS NATURAIS";"MESTRADO";15;0;0;0;0;0;0;0
"14";"11001011003P0";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"LETRAS- LINGUAGEM E IDENTIDADE";"MESTRADO";15;0;0;0;0;0;0;0
"15";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";17;0;0;0;0;0;0;0
