"";"CD_PROGRAMA_IES";"NM_AREA_AVALIACAO";"SG_AREA_AVALIACAO";"CS_STATUS_JURIDICO";"DS_DEPENDENCIA_ADMINISTRATIVA";"ANO_INICIO_PROGRAMA";"NM_MODALIDADE_PROGRAMA";"CD_CONCEITO_PROGRAMA";"NM_REGIAO";"SG_UF_PROGRAMA";"SG_ENTIDADE_ENSINO";"NM_PROGRAMA_IES";"NM_GRAU_PROGRAMA";"QIP";"QPP";"DIPP";"DFPP";"QMP";"DFCP";"CC"
"1";"10001018002P1";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"BIOLOGIA EXPERIMENTAL";"MESTRADO/DOUTORADO";4;33;0,121212121212121;1,75862068965517;2,58620689655172;0,796230780713539;0,45872145096283
"2";"10001018004P4";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"DESENVOLVIMENTO REGIONAL E MEIO AMBIENTE";"MESTRADO/DOUTORADO";4;34;0,117647058823529;1,77777777777778;1,55555555555556;1,5;0,808823529411765
"3";"10001018005P0";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"GEOGRAFIA";"MESTRADO/DOUTORADO";1;8;0,125;1,07142857142857;1,14285714285714;0,964285714285714;0,544642857142857
"4";"10001018006P7";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";"ADM";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"4";"NORTE";"RO";"UNIR";"ADMINISTRAÇÃO";"MESTRADO";2;3;0,666666666666667;1,77777777777778;1,33333333333333;1,33333333333333;1
"5";"10001018008P0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;9;0,222222222222222;NA;NA;NA;NA
"6";"10001018009P6";"PSICOLOGIA";"PSICO";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"PSICOLOGIA";"MESTRADO";4;21;0,19047619047619;1,53846153846154;1,76923076923077;0,916666666666667;0,553571428571429
"7";"10001018010P4";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"LETRAS";"MESTRADO";1;5;0,2;2,33333333333333;1,66666666666667;1,47222222222222;0,836111111111111
"8";"10001018011P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2010;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO";"MESTRADO";5;18;0,277777777777778;2,5;1,16666666666667;2,16666666666667;1,22222222222222
"9";"10001018012P7";"LETRAS / LINGUÍSTICA";"LETR";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"ESTUDOS LITERÁRIOS";"MESTRADO";2;7;0,285714285714286;2;1,5;1,5;0,892857142857143
"10";"10001018013P3";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2012;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"ENSINO EM CIÊNCIAS DA SAÚDE";"MESTRADO PROF.";1;1;1;NA;NA;NA;NA
"11";"10001018016P2";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";2014;"PROFISSIONAL";"3";"NORTE";"RO";"UNIR";"EDUCAÇÃO ESCOLAR";"MESTRADO PROF.";6;24;0,25;1,5;1,27777777777778;1,25925925925926;0,75462962962963
"12";"10001018017P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2013;"ACADÊMICO";"3";"NORTE";"RO";"UNIR";"CIÊNCIAS AMBIENTAIS";"MESTRADO";7;52;0,134615384615385;1,48571428571429;1,51428571428571;0,985714285714286;0,560164835164835
"13";"11001011001P8";"BIODIVERSIDADE";"BIOD";"FEDERAL";"PÚBLICA";1996;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"ECOLOGIA E MANEJO DE RECURSOS NATURAIS";"MESTRADO";1;5;0,2;NA;NA;NA;NA
"14";"11001011004P7";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"PRODUÇÃO VEGETAL";"MESTRADO/DOUTORADO";3;11;0,272727272727273;2;4;0,5;0,386363636363636
"15";"11001011005P3";"SAÚDE COLETIVA";"SCOL";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AC";"UFAC";"SAÚDE COLETIVA";"MESTRADO/DOUTORADO";4;8;0,5;1,16666666666667;1,16666666666667;1;0,75
"16";"11001011006P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2011;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIA, INOVAÇÃO E TECNOLOGIA PARA A AMAZÔNIA";"MESTRADO";3;18;0,166666666666667;3,22222222222222;3,11111111111111;1,01388888888889;0,590277777777778
"17";"11001011008P2";"MEDICINA VETERINÁRIA";"MVET";"FEDERAL";"PÚBLICA";2014;"ACADÊMICO";"4";"NORTE";"AC";"UFAC";"SANIDADE E PRODUÇÃO ANIMAL SUSTENTÁVEL NA AMAZÔNIA OCIDENTAL";"MESTRADO/DOUTORADO";2;7;0,285714285714286;2,57142857142857;2,57142857142857;1,02380952380952;0,654761904761905
"18";"11001011070P0";"MEDICINA II";"MEDII";"FEDERAL";"PÚBLICA";2016;"ACADÊMICO";"3";"NORTE";"AC";"UFAC";"CIÊNCIAS DA SAÚDE NA AMAZÔNIA OCIDENTAL";"MESTRADO";2;2;1;1,5;1,31818181818182;1,14772727272727;1,07386363636364
"19";"12001015001P0";"EDUCAÇÃO";"EDUC";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"EDUCAÇÃO";"MESTRADO/DOUTORADO";3;44;0,0681818181818182;1,42424242424242;1,45454545454545;1;0,534090909090909
"20";"12001015002P7";"QUÍMICA";"QUIM";"FEDERAL";"PÚBLICA";1987;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"QUÍMICA";"MESTRADO/DOUTORADO";3;13;0,230769230769231;1,05882352941176;1,76470588235294;0,786274509803922;0,508521870286576
"21";"12001015003P3";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";1995;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"AGRONOMIA TROPICAL";"MESTRADO/DOUTORADO";3;38;0,0789473684210526;1,125;1,5;0,822916666666667;0,45093201754386
"22";"12001015006P2";"ASTRONOMIA / FÍSICA";"AFIS";"FEDERAL";"PÚBLICA";1999;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"FÍSICA";"MESTRADO/DOUTORADO";2;18;0,111111111111111;1,5;1,91666666666667;0,847222222222222;0,479166666666667
"23";"12001015007P9";"CIÊNCIAS AMBIENTAIS";"CAMB";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"CIÊNCIAS DO AMBIENTE E SUSTENTABILIDADE NA AMAZÔNIA";"MESTRADO/DOUTORADO";4;21;0,19047619047619;4;4,5;0,976851851851852;0,583664021164021
"24";"12001015008P5";"GEOCIÊNCIAS";"GEOC";"FEDERAL";"PÚBLICA";2000;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"GEOCIÊNCIAS";"MESTRADO";4;17;0,235294117647059;1,25;1,5;0,916666666666667;0,575980392156863
"25";"12001015012P2";"CIÊNCIA DA COMPUTAÇÃO";"CCOMP";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"5";"NORTE";"AM";"UFAM";"INFORMÁTICA";"MESTRADO/DOUTORADO";5;37;0,135135135135135;1,38461538461538;1,46153846153846;0,961538461538462;0,548336798336798
"26";"12001015013P9";"BIOTECNOLOGIA";"BIOT";"FEDERAL";"PÚBLICA";2001;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"BIOTECNOLOGIA";"MESTRADO/DOUTORADO";5;127;0,0393700787401575;1,44444444444444;1,36111111111111;1,05648148148148;0,547925780110819
"27";"12001015014P5";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIEDADE E CULTURA NA AMAZÔNIA";"MESTRADO/DOUTORADO";5;86;0,0581395348837209;1,80239520958084;1,41317365269461;1,28892215568862;0,673530845286172
"28";"12001015015P1";"MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA";"MAPE";"FEDERAL";"PÚBLICA";1998;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"MATEMÁTICA";"MESTRADO";4;22;0,181818181818182;1,21428571428571;1,5;0,933333333333333;0,557575757575758
"29";"12001015016P8";"CIÊNCIAS AGRÁRIAS I";"CAGRI";"FEDERAL";"PÚBLICA";2003;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FLORESTAIS E AMBIENTAIS";"MESTRADO";5;19;0,263157894736842;1,75;2,5;0,708333333333333;0,485745614035088
"30";"12001015018P0";"INTERDISCIPLINAR";"INTE";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SAÚDE, SOCIEDADE E ENDEMIAS NA AMAZÔNIA";"MESTRADO";3;9;0,333333333333333;1;1;1;0,666666666666667
"31";"12001015020P5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;9;0,222222222222222;NA;NA;NA;NA
"32";"12001015021P1";"ENGENHARIAS IV";"ENGIV";"FEDERAL";"PÚBLICA";2005;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA ELÉTRICA";"MESTRADO";4;14;0,285714285714286;1;2,11111111111111;0,592592592592593;0,439153439153439
"33";"12001015022P8";"ENGENHARIAS I";"ENGI";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"ENGENHARIA CIVIL";"MESTRADO";2;9;0,222222222222222;2;3;0,666666666666667;0,444444444444444
"34";"12001015023P4";"HISTÓRIA";"HIST";"FEDERAL";"PÚBLICA";2006;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"HISTÓRIA";"MESTRADO";3;28;0,107142857142857;1,66666666666667;1,66666666666667;1,13333333333333;0,620238095238095
"35";"12001015024P0";"SOCIOLOGIA";"SOCI";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SOCIOLOGIA";"MESTRADO";3;16;0,1875;1,19230769230769;1,15384615384615;1,06410256410256;0,625801282051282
"36";"12001015025P7";"ZOOTECNIA / RECURSOS PESQUEIROS";"ZOOT";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS PESQUEIRAS NOS TRÓPICOS";"MESTRADO/DOUTORADO";1;2;0,5;1,23529411764706;1,70588235294118;0,862745098039216;0,681372549019608
"37";"12001015026P3";"GEOGRAFIA";"GEOG";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"GEOGRAFIA";"MESTRADO";4;63;0,0634920634920635;1;1;1;0,531746031746032
"38";"12001015027P0";"SERVIÇO SOCIAL";"SSOC";"FEDERAL";"PÚBLICA";2007;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"SERVIÇO SOCIAL";"MESTRADO";4;42;0,0952380952380952;1,04166666666667;1,45833333333333;0,798611111111111;0,446924603174603
"39";"12001015029P2";"ANTROPOLOGIA / ARQUEOLOGIA";"ANTR";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"ANTROPOLOGIA SOCIAL";"MESTRADO/DOUTORADO";8;25;0,32;2;1,85714285714286;1,02857142857143;0,674285714285714
"40";"12001015032P3";"COMUNICAÇÃO E INFORMAÇÃO";"31";"FEDERAL";"PÚBLICA";2008;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS DA COMUNICAÇÃO";"MESTRADO";3;30;0,1;2;2;0,965136054421769;0,532568027210884
"41";"12001015033P0";"FARMÁCIA";"FARM";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIAS FARMACÊUTICAS";"MESTRADO";2;15;0,133333333333333;2,2;2,4;0,966666666666667;0,55
"42";"12001015034P6";"CIÊNCIAS BIOLÓGICAS III";"CBIII";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"4";"NORTE";"AM";"UFAM";"IMUNOLOGIA BÁSICA E APLICADA";"MESTRADO/DOUTORADO";3;23;0,130434782608696;1,5;1,8;0,9;0,515217391304348
"43";"12001015035P2";"MATERIAIS";"MATE";"FEDERAL";"PÚBLICA";2009;"ACADÊMICO";"3";"NORTE";"AM";"UFAM";"CIÊNCIA E ENGENHARIA DE MATERIAIS";"MESTRADO";3;24;0,125;1,5;1,75;0,944444444444444;0,534722222222222
