"";"sigla";"NM_AREA_AVALIACAO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"ADM";"ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO";0,562039789497814;0,291765621960682;0,561036554591242;0,153846153846154;0,00750943286264209;0,131088480126754;0,0866569839230635;0,362061431426703;15,4183005442536;124,093246145187;0,0476104511873025
"2";"ANTR";"ANTROPOLOGIA / ARQUEOLOGIA";0,498020976314;0,142841953368269;0,504066216350699;0,111111111111111;0,00580611593923176;0,00822085993837142;0,0761978735873368;0,0906689579645174;15,3001333701443;63,475019646895;0,749293103047719
"3";"ARQU";"ARQUITETURA, URBANISMO E DESIGN";0,541055271831694;0,37755956955148;0,525435388366423;0,222222222222222;0,0128115717961185;0,116785165715834;0,113188214033611;0,341738446353105;20,9198985623821;90,5124578775931;0,228470267879311
"4";"ARTE";"ARTES / MÚSICA";0,551636367099079;0,138644473200553;0,547622821052828;0,0869565217391304;0,00598214343095855;0,0138663131158827;0,0773443173798732;0,117755310351095;14,0208880329279;84,9332884555438;-0,192058733444528
"5";"AFIS";"ASTRONOMIA / FÍSICA";0,372047070851001;0,203026583593831;0,347009955967499;0,117647058823529;0,00810979418570982;0,0728484583975644;0,0900543957045397;0,269904535711359;24,2051081059592;132,940490320875;0,0119246929132408
"6";"BIOD";"BIODIVERSIDADE";0,458267792078922;0,195773408058375;0,422755046531056;0,0833333333333333;0,00824245786531327;0,128888672213418;0,0907879830446368;0,359010685374986;19,8111201821056;183,380720055677;0,295262699689729
"7";"BIOT";"BIOTECNOLOGIA";0,575872495014987;1,3448461227131;0,55205499027464;1,09090909090909;0,00910468535854639;1,72298675523862;0,0954184749330359;1,3126259007191;16,5693752973135;97,6041703619589;-0,00554813139594037
"8";"CCOMP";"CIÊNCIA DA COMPUTAÇÃO";0,484106607066745;0,559876321457748;0,470001362759947;0,267948717948718;0,0079290357943626;0,454350072628561;0,089045133468161;0,674054947781381;18,393703405061;120,393544421801;0,337467928208708
"9";"CALIM";"CIÊNCIA DE ALIMENTOS";0,502160587773885;0,740290530010925;0,487136868426529;0,522727272727273;0,0103970286739165;0,691565967980119;0,101965821106469;0,831604454040573;20,3054209328715;112,334876690683;-0,0403955659825708
"10";"CPOL";"CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS";0,570635595401644;0,270311714429361;0,601155462184874;0,0769230769230769;0,0112490013797874;0,19440758384286;0,106061309532682;0,440916753869549;18,5865218341367;163,114186449648;0,695604623035731
