"";"SG_ENTIDADE_ENSINO";"m_IMI";"m_IPT";"md_IMI";"md_IPT";"v_IMI";"v_IPT";"d_IMI";"d_IPT";"pc_IMI";"pc_IPT";"cor"
"1";"CDTN";0,534479234263465;0,173913043478261;0,534479234263465;0,173913043478261;NA;NA;NA;NA;NA;NA;NA
"2";"CEFET/MG";0,612862219820965;0,54951690821256;0,612862219820965;0,54951690821256;0,00370162610529646;0,487995635837476;0,0608409903379002;0,698566844215695;9,92735208178987;127,123812529801;-1
"3";"CEFET/RJ";0,476309551341351;0,4375;0,476309551341351;0,4375;NA;NA;NA;NA;NA;NA;NA
"4";"CRH/SES-SP";0,681396901709402;0,0666666666666667;0,681396901709402;0,0666666666666667;NA;NA;NA;NA;NA;NA;NA
"5";"EESP/FGV";0,714679524644457;0,1;0,714679524644457;0,1;NA;NA;NA;NA;NA;NA;NA
"6";"FACCAMP";0,577265712682379;0,454545454545455;0,577265712682379;0,454545454545455;NA;NA;NA;NA;NA;NA;NA
"7";"FCMSCSP-TI";0,562516755480751;0,118983957219251;0,562516755480751;0,118983957219251;0,00876641989344267;0,00157639623666676;0,0936291615547351;0,0397038566976404;16,6446884723843;33,3690840559944;-1
"8";"FEEVALE";0,615759228975393;0,662907268170426;0,596588539268253;0,570175438596491;0,00457858589725614;0,294121268082487;0,0676652488154454;0,54232948295523;10,9889134634715;81,810761322925;0,946868266718804
"9";"FEI";0,621670751633987;0,1;0,621670751633987;0,1;NA;NA;NA;NA;NA;NA;NA
"10";"FESP/UPE";0,492524846771005;0,207404875825928;0,459703371415004;0,0909090909090909;0,0141275844113251;0,0479448471008711;0,118859515442917;0,218963118129221;24,1326942634794;105,572791988262;-0,0716308027510546
"11";"FUCAPE";0,47129884004884;0,307692307692308;0,47129884004884;0,307692307692308;NA;NA;NA;NA;NA;NA;NA
"12";"FUFPI";0,432930735904887;0,567118437118437;0,399088145896656;0,642857142857143;0,00358977938459919;0,141722971371323;0,0599147676670717;0,376461115351005;13,8393425779395;66,3813924413791;0,662157487631763
"13";"FUFSE";0,579623279994541;1,59989018334607;0,587233529340839;1,6;0,00737406963700929;1,23430221139562;0,0858724032329903;1,11099154425028;14,815209498452;69,4417376776893;-0,100034933756238
"14";"FUMEC";0,635646581294691;0,233566433566434;0,670028651439696;0,181818181818182;0,0295935000685206;0,0200645508337816;0,17202761426155;0,141649394046645;27,0634058805386;60,6462974511083;0,440611369385466
"15";"FUNDACENTR";0,626687945709685;0,0555555555555556;0,626687945709685;0,0555555555555556;NA;NA;NA;NA;NA;NA;NA
"16";"FUPF";0,791473866440763;1,31493506493507;0,791473866440763;1,31493506493507;0,0000976449406303212;1,83473182661494;0,00988154545758513;1,35452273019501;1,24849927162121;103,010617506188;1
"17";"FURB";0,533188429382405;0,241593765711413;0,509631223763218;0,1;0,00704034971609613;0,0524481789106046;0,0839067918353224;0,2290156739409;15,7367990773003;94,7937018434749;0,306525270742963
"18";"FURG";0,506905950189274;0,21334362804951;0,510941451985325;0,142857142857143;0,0053173060407401;0,0411436429496104;0,0729198603998945;0,202838958165364;14,3852839708563;95,0761735983471;-0,565129894114963
"19";"IBMEC";0,649659103895256;0,104166666666667;0,649659103895256;0,104166666666667;0,00281282141676402;0,000868055555555556;0,0530360388487302;0,0294627825494395;8,16367207520595;28,2842712474619;-1
"20";"INTA";0,830406746031746;0,25;0,830406746031746;0,25;NA;NA;NA;NA;NA;NA;NA
"21";"LNCC";0,537616591731411;0,594594594594595;0,537616591731411;0,594594594594595;NA;NA;NA;NA;NA;NA;NA
"22";"PUC-GOIÁS";0,505587655217589;0,295454545454545;0,505587655217589;0,295454545454545;0,0355336291124433;0,0836776859504132;0,188503658087697;0,289270955939951;37,2840705548023;97,9070927796758;-1
"23";"PUC-RIO";0,513339328264917;0,453343013993722;0,476770157389908;0,266666666666667;0,0177574323991516;0,245178251284111;0,133257016322412;0,495154775079582;25,9588558649538;109,222985641164;0,515666971195859
"24";"PUC/MG";0,465315098000319;0,579255004255004;0,496329234372713;0,4;0,0113800962568632;0,288685776886222;0,106677533983792;0,537294869588592;22,9258698981049;92,7561895265146;0,341934719391393
"25";"PUC/PR";0,522832801365862;0,784956147701246;0,531451683237397;0,277777777777778;0,01135201354366;0,847468156167227;0,106545828372865;0,920580336617737;20,378566167716;117,277931934627;0,449901791437197
"26";"PUC/RS";0,467509164645836;0,495060199681159;0,453738575902823;0,257575757575758;0,0136072451106288;0,565559117588081;0,1166500969165;0,752036646439574;24,9514032532109;151,908120855589;0,639404904489717
"27";"PUC/SP";0,486210215603695;0,254337315734375;0,503444849474443;0,199346405228758;0,00942256208901193;0,0432885194531436;0,0970698825023083;0,20805893264444;19,9645913201933;81,8043282574127;0,0869724363175097
"28";"PUCCAMP";0,554025449518709;0,616096866096866;0,564822104978355;0,444444444444444;0,00262682847756358;0,226332882849977;0,0512525948373698;0,475744556300938;9,25094594154361;77,2191164215627;-0,85463650762403
"29";"SLMANDIC";0,480266240714493;0,433353621424224;0,480266240714493;0,433353621424224;0,000580460041838653;0,0006668027438192;0,0240927383632217;0,0258225239629901;5,01653797847187;5,95876500999899;1
"30";"UAM";0,681024821952241;1,27272727272727;0,681024821952241;1,27272727272727;NA;NA;NA;NA;NA;NA;NA
"31";"UCB";0,559375370736326;0,496334751849458;0,575465391928713;0,30952380952381;0,0126969039149907;0,281557040992568;0,112680539202609;0,530619487950233;20,1439936574761;106,907583233498;-0,34356685041322
"32";"UCDB";0,604879940098456;0,631135531135531;0,590028012619875;0,785714285714286;0,00287872428759076;0,0785126595016705;0,0536537443948767;0,280201105461186;8,87014774967467;44,3963446261774;-0,953241194946016
"33";"UCP/RJ";0,613995726495726;0,5;0,613995726495726;0,5;NA;NA;NA;NA;NA;NA;NA
"34";"UCS";0,575079487999288;0,758241848928123;0,556207662035381;0,6;0,00156349476146306;0,444512687761645;0,0395410515978401;0,666717847189983;6,87575412147009;87,9294446926766;-0,355932709184452
"35";"UCSAL";0,631895678846898;0,1;0,631895678846898;0,1;NA;NA;NA;NA;NA;NA;NA
"36";"UDESC";0,515084297511752;0,521026592455164;0,513173287586944;0,323863636363636;0,00466560647272235;0,265839257487952;0,0683052448405124;0,515596021598259;13,2609837206218;98,9577171423602;-0,0502213935652747
"37";"UEA";0,583816902052196;0,233333333333333;0,583816902052196;0,233333333333333;0,00299197740452195;0,02;0,0546989707811943;0,14142135623731;9,36919958790504;60,6091526731326;-1
"38";"UECE";0,504974557583497;0,4363662844055;0,546038381907947;0,2;0,0125131265158092;0,281089742477772;0,111862087034925;0,530178972119578;22,1520243653917;121,498610471679;0,061405581483083
"39";"UEFS";0,515050735208656;0,376361269145339;0,559865732827689;0,0869565217391304;0,0111835373794073;0,273224170106502;0,10575224526887;0,522708494389083;20,5323938089377;138,884773020369;0,230578381077097
"40";"UEG";0,575310905215977;0,100548245614035;0,5655098953793;0,0645833333333333;0,00238923790167322;0,00537949176669744;0,0488798312361368;0,0733450186904158;8,49624625449902;72,9451003769457;-0,507509154376114
"41";"UEL";0,473938697344598;0,448358957897293;0,469717413689262;0,272727272727273;0,0114879369164902;0,245137158770111;0,107181793773431;0,495113278725294;22,6151176035957;110,427877040144;0,229201425724535
"42";"UEM";0,44692009123925;0,277174125897036;0,470892817354214;0,181818181818182;0,00992645737569236;0,0931595086827865;0,0996316083162987;0,305220426385238;22,2929356431557;110,11865750363;0,228151652488924
"43";"UEMA";0,518192873391882;0,166910866910867;0,564893684746626;0,0769230769230769;0,012938177129149;0,027167456068555;0,113746108193419;0,164825532210744;21,9505350293382;98,7506297590338;0,38447221109415
"44";"UEMG";0,580112715659133;0,349358974358974;0,580112715659133;0,349358974358974;0,00774737371327008;0,141539283366206;0,0880191667381036;0,376217069477458;15,1727697673537;107,687821721988;1
"45";"UEMS";0,543057226310741;0,116666666666667;0,545301299283154;0,133333333333333;0,00184819744026613;0,00361111111111111;0,0429906668972014;0,0600925212577332;7,91641558464445;51,5078753637713;0,725240597612933
"46";"UENF";0,495146104958339;0,569079770132402;0,501029575983559;0,224171539961014;0,0136282116458453;0,420183639538296;0,116739931667983;0,648215735336852;23,5768655956216;113,905952971415;-0,0281982427867092
